Day,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.
1,0.85,0.93,0.83,0.91,0.93,0.98,0.99,0.99,0.9,0.85,0.72,0.69
2,0.92,0.97,0.9,0.96,0.97,1,1,0.95,0.82,0.76,0.62,0.6
3,0.96,0.99,0.95,0.99,0.99,0.99,0.98,0.88,0.73,0.66,0.52,0.5
4,0.99,1,0.98,1,1,0.97,0.93,0.8,0.62,0.56,0.42,0.41
5,1,0.98,1,0.99,0.98,0.92,0.86,0.7,0.51,0.45,0.33,0.32
6,0.99,0.95,1,0.97,0.95,0.84,0.78,0.59,0.4,0.36,0.24,0.23
7,0.96,0.9,0.98,0.92,0.89,0.75,0.67,0.47,0.3,0.26,0.17,0.16
8,0.91,0.84,0.94,0.86,0.82,0.65,0.56,0.37,0.22,0.18,0.1,0.09
9,0.85,0.76,0.89,0.79,0.73,0.54,0.45,0.27,0.14,0.12,0.05,0.05
10,0.78,0.68,0.82,0.69,0.63,0.42,0.34,0.18,0.08,0.06,0.02,0.01
11,0.69,0.58,0.74,0.59,0.51,0.31,0.24,0.11,0.03,0.02,0,0
12,0.6,0.48,0.65,0.48,0.4,0.21,0.15,0.05,0.01,0,0,0.01
13,0.51,0.38,0.54,0.37,0.29,0.13,0.08,0.02,0,0,0.03,0.04
14,0.41,0.28,0.44,0.26,0.19,0.06,0.03,0,0.01,0.02,0.07,0.09
15,0.31,0.19,0.33,0.17,0.11,0.02,0.01,0.01,0.04,0.05,0.13,0.17
16,0.22,0.1,0.23,0.09,0.05,0,0,0.03,0.08,0.1,0.2,0.25
17,0.14,0.04,0.14,0.03,0.01,0.01,0.02,0.07,0.14,0.17,0.3,0.36
18,0.07,0.01,0.06,0,0,0.04,0.05,0.12,0.21,0.25,0.4,0.47
19,0.02,0,0.02,0,0.02,0.08,0.1,0.19,0.3,0.34,0.51,0.58
20,0,0.03,0,0.03,0.06,0.15,0.17,0.27,0.4,0.45,0.62,0.69
21,0.01,0.08,0.01,0.09,0.12,0.22,0.24,0.36,0.5,0.55,0.73,0.79
22,0.05,0.16,0.05,0.16,0.19,0.3,0.33,0.45,0.6,0.66,0.83,0.88
23,0.11,0.25,0.12,0.25,0.28,0.4,0.42,0.55,0.71,0.77,0.91,0.94
24,0.2,0.35,0.2,0.34,0.37,0.49,0.52,0.65,0.8,0.86,0.96,0.98
25,0.3,0.46,0.3,0.44,0.46,0.58,0.61,0.75,0.89,0.93,0.99,1
26,0.41,0.57,0.4,0.53,0.56,0.68,0.71,0.84,0.95,0.98,1,0.99
27,0.52,0.66,0.5,0.63,0.65,0.76,0.8,0.91,0.99,1,0.97,0.96
28,0.62,0.75,0.6,0.72,0.74,0.84,0.88,0.97,1,0.99,0.93,0.91
29,0.72,--,0.69,0.8,0.82,0.91,0.94,1,0.98,0.95,0.86,0.84
30,0.81,--,0.78,0.87,0.89,0.96,0.98,1,0.93,0.89,0.78,0.76
31,0.88,--,0.85,--,0.94,--,1,0.96,--,0.81,--,0.68
