Day,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.
1,0.35,0.47,0.32,0.49,0.57,0.76,0.82,0.92,0.98,0.98,1,1
2,0.44,0.58,0.42,0.6,0.68,0.85,0.89,0.97,1,1,0.99,0.97
3,0.54,0.69,0.53,0.71,0.78,0.92,0.95,0.99,1,0.99,0.95,0.93
4,0.64,0.79,0.64,0.81,0.87,0.97,0.98,1,0.98,0.97,0.9,0.86
5,0.74,0.87,0.74,0.89,0.94,0.99,1,0.99,0.95,0.93,0.83,0.77
6,0.83,0.94,0.84,0.95,0.98,1,1,0.96,0.89,0.87,0.74,0.67
7,0.91,0.99,0.92,0.99,1,0.98,0.97,0.92,0.83,0.79,0.63,0.56
8,0.97,1,0.97,1,0.99,0.95,0.93,0.86,0.75,0.7,0.52,0.44
9,1,0.98,1,0.98,0.96,0.9,0.88,0.78,0.65,0.59,0.41,0.33
10,1,0.94,0.99,0.94,0.92,0.83,0.81,0.7,0.55,0.48,0.3,0.23
11,0.97,0.87,0.96,0.88,0.85,0.76,0.73,0.6,0.44,0.37,0.2,0.14
12,0.91,0.78,0.91,0.8,0.78,0.67,0.64,0.5,0.33,0.27,0.11,0.07
13,0.83,0.69,0.83,0.72,0.69,0.58,0.55,0.4,0.23,0.17,0.05,0.03
14,0.73,0.58,0.75,0.63,0.6,0.48,0.45,0.29,0.14,0.09,0.01,0
15,0.63,0.48,0.65,0.53,0.51,0.39,0.35,0.2,0.07,0.03,0,0
16,0.52,0.38,0.55,0.44,0.42,0.29,0.25,0.11,0.02,0.01,0.01,0.02
17,0.42,0.29,0.46,0.34,0.32,0.2,0.16,0.05,0,0.01,0.05,0.06
18,0.32,0.21,0.36,0.26,0.24,0.12,0.09,0.01,0.01,0.03,0.11,0.12
19,0.23,0.14,0.27,0.18,0.16,0.06,0.03,0,0.05,0.08,0.18,0.19
20,0.15,0.08,0.19,0.11,0.09,0.02,0,0.02,0.12,0.15,0.26,0.27
21,0.09,0.04,0.13,0.06,0.04,0,0,0.08,0.2,0.24,0.35,0.36
22,0.04,0.01,0.07,0.02,0.01,0.01,0.04,0.15,0.29,0.33,0.44,0.45
23,0.01,0,0.03,0,0,0.05,0.09,0.24,0.39,0.42,0.54,0.55
24,0,0.01,0.01,0.01,0.02,0.11,0.18,0.34,0.5,0.52,0.63,0.64
25,0.01,0.04,0,0.03,0.06,0.2,0.27,0.45,0.59,0.62,0.72,0.73
26,0.03,0.08,0.02,0.08,0.13,0.3,0.38,0.55,0.69,0.7,0.8,0.81
27,0.07,0.15,0.05,0.15,0.22,0.41,0.49,0.65,0.77,0.79,0.87,0.89
28,0.13,0.23,0.11,0.24,0.32,0.52,0.6,0.74,0.84,0.86,0.93,0.95
29,0.2,--,0.18,0.35,0.43,0.63,0.7,0.82,0.91,0.92,0.97,0.98
30,0.28,--,0.28,0.46,0.55,0.73,0.79,0.89,0.95,0.96,1,1
31,0.37,--,0.38,--,0.66,--,0.86,0.94,--,0.99,--,0.99
