Day,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.
1,0.59,0.48,0.56,0.43,0.37,0.2,0.13,0.03,0,0,0.02,0.03
2,0.49,0.39,0.47,0.33,0.27,0.11,0.06,0,0.01,0.02,0.06,0.07
3,0.4,0.3,0.37,0.23,0.17,0.05,0.02,0,0.04,0.05,0.11,0.13
4,0.31,0.21,0.27,0.14,0.09,0.01,0,0.02,0.08,0.1,0.18,0.21
5,0.22,0.13,0.18,0.07,0.03,0,0.01,0.07,0.14,0.16,0.26,0.29
6,0.15,0.07,0.1,0.02,0,0.02,0.04,0.12,0.22,0.24,0.35,0.39
7,0.08,0.02,0.04,0,0.01,0.07,0.1,0.2,0.3,0.32,0.45,0.5
8,0.04,0,0.01,0.01,0.04,0.13,0.17,0.28,0.39,0.42,0.55,0.61
9,0.01,0.01,0,0.05,0.09,0.22,0.25,0.37,0.49,0.52,0.66,0.71
10,0,0.04,0.02,0.12,0.17,0.31,0.34,0.46,0.58,0.62,0.76,0.81
11,0.02,0.1,0.07,0.21,0.26,0.4,0.43,0.56,0.68,0.72,0.85,0.89
12,0.06,0.18,0.15,0.31,0.36,0.5,0.53,0.65,0.77,0.81,0.92,0.96
13,0.13,0.28,0.24,0.41,0.46,0.6,0.62,0.74,0.85,0.89,0.97,0.99
14,0.22,0.39,0.35,0.52,0.56,0.69,0.71,0.82,0.92,0.95,1,1
15,0.32,0.5,0.46,0.62,0.66,0.77,0.79,0.89,0.97,0.99,0.99,0.97
16,0.43,0.61,0.57,0.72,0.75,0.84,0.87,0.95,1,1,0.95,0.92
17,0.54,0.72,0.67,0.8,0.82,0.91,0.93,0.99,1,0.98,0.89,0.85
18,0.65,0.81,0.76,0.87,0.89,0.95,0.97,1,0.97,0.93,0.81,0.77
19,0.75,0.88,0.84,0.93,0.94,0.99,0.99,0.99,0.91,0.86,0.71,0.67
20,0.84,0.94,0.91,0.97,0.98,1,1,0.95,0.83,0.76,0.61,0.58
21,0.91,0.98,0.96,0.99,1,0.99,0.98,0.89,0.73,0.66,0.5,0.48
22,0.96,1,0.99,1,1,0.96,0.93,0.81,0.62,0.55,0.4,0.38
23,0.99,1,1,0.99,0.98,0.91,0.87,0.71,0.51,0.44,0.31,0.29
24,1,0.98,0.99,0.96,0.94,0.84,0.78,0.6,0.4,0.34,0.22,0.21
25,0.98,0.94,0.97,0.91,0.89,0.76,0.68,0.48,0.3,0.25,0.15,0.14
26,0.95,0.89,0.93,0.85,0.81,0.66,0.57,0.37,0.21,0.17,0.09,0.08
27,0.9,0.82,0.87,0.77,0.73,0.55,0.46,0.26,0.13,0.1,0.04,0.04
28,0.83,0.74,0.8,0.69,0.63,0.44,0.35,0.17,0.07,0.05,0.01,0.01
29,0.75,0.66,0.72,0.59,0.52,0.32,0.24,0.1,0.03,0.02,0,0
30,0.67,--,0.63,0.48,0.41,0.22,0.15,0.04,0,0,0.01,0.01
31,0.58,--,0.53,--,0.3,--,0.08,0.01,--,0,--,0.04
